time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837016.69992709,0.02460335,0.00298791,0.00000376,68855.00000000,0.01835194,0.000000,0.000000
1577837016.79977179,0.02459375,0.00385879,0.00000443,68867.00000000,0.02104160,0.000000,0.000000
1577837016.89961505,0.02457747,0.00341945,0.00000383,68891.00000000,0.01853809,0.000000,0.000000
1577837016.99945712,0.02456458,0.00401345,0.00000395,68895.00000000,0.01976893,0.000000,0.000000
1577837017.09928703,0.02454783,0.00335891,0.00000356,68897.00000000,0.01830189,0.000000,0.000000
1577837017.19993496,0.02455089,0.00395052,0.00000499,68906.00000000,0.02569609,0.000000,0.000000
1577837017.29978800,0.02453539,0.00332220,0.00000358,68893.00000000,0.01872062,0.000000,0.000000
1577837017.39962697,0.02451783,0.00302864,0.00000358,68897.00000000,0.01791701,0.000000,0.000000
1577837017.49947381,0.02448922,0.00249575,0.00000273,68908.00000000,0.01370367,0.000000,0.000000
1577837017.59932590,0.02447056,0.00323999,0.00000343,68921.00000000,0.01741663,0.000000,0.000000
1577837017.69995904,0.02446453,0.00350255,0.00000421,68932.00000000,0.02217868,0.000000,0.000000
1577837017.79980493,0.02444545,0.00323542,0.00000319,68933.00000000,0.01719310,0.000000,0.000000
1577837017.89964604,0.02442590,0.00315231,0.00000331,68948.00000000,0.01698031,0.000000,0.000000
1577837017.99949002,0.02439903,0.00263584,0.00000273,68957.00000000,0.01413506,0.000000,0.000000
1577837018.09932280,0.02440395,0.00392570,0.00000526,68969.00000000,0.02628674,0.000000,0.000000
1577837018.19994712,0.02438572,0.00277849,0.00000366,68975.00000000,0.01738393,0.000000,0.000000
1577837018.29980016,0.02439304,0.00330524,0.00000572,69001.00000000,0.02721397,0.000000,0.000000
1577837018.39965200,0.02438073,0.00275047,0.00000384,69025.00000000,0.01962793,0.000000,0.000000
1577837018.49949384,0.02438031,0.00342640,0.00000528,69033.00000000,0.02421665,0.000000,0.000000
1577837018.59934902,0.02437159,0.00335193,0.00000419,69018.00000000,0.02099026,0.000000,0.000000
1577837018.69998097,0.02435764,0.00328900,0.00000376,69037.00000000,0.01892853,0.000000,0.000000
1577837018.79979897,0.02433804,0.00325926,0.00000349,69036.00000000,0.01669663,0.000000,0.000000
1577837018.89965105,0.02432118,0.00327572,0.00000345,69028.00000000,0.01772949,0.000000,0.000000
1577837018.99950004,0.02430368,0.00353013,0.00000334,69037.00000000,0.01744116,0.000000,0.000000
1577837019.09935212,0.02428091,0.00294805,0.00000305,69066.00000000,0.01533128,0.000000,0.000000
1577837019.19999218,0.02429449,0.00466047,0.00000589,69096.00000000,0.02964728,0.000000,0.000000
1577837019.29982114,0.02427171,0.00293501,0.00000299,69111.00000000,0.01527400,0.000000,0.000000
1577837019.39966321,0.02426999,0.00442206,0.00000453,69134.00000000,0.02358838,0.000000,0.000000
1577837019.49949908,0.02426702,0.00335906,0.00000423,69176.00000000,0.02308660,0.000000,0.000000
1577837019.59935308,0.02426896,0.00354331,0.00000464,69171.00000000,0.02504256,0.000000,0.000000
1577837019.69999003,0.02425570,0.00371586,0.00000350,69183.00000000,0.01896291,0.000000,0.000000
1577837019.79981494,0.02424843,0.00396593,0.00000392,69204.00000000,0.02134171,0.000000,0.000000
1577837019.89967895,0.02425471,0.00393307,0.00000506,69225.00000000,0.02677196,0.000000,0.000000
1577837019.99952507,0.02423709,0.00339216,0.00000321,69257.00000000,0.01715500,0.000000,0.000000
1577837020.09935904,0.02423808,0.00504715,0.00000445,69289.00000000,0.02463667,0.000000,0.000000
